LINESTRING (1.712130 42.538821, 1.711994 42.538685) 
LINESTRING (1.711994 42.538685, 1.711908 42.538576) 
LINESTRING (1.711908 42.538576, 1.711840 42.538349) 
LINESTRING (1.711840 42.538349, 1.711698 42.538000) 
LINESTRING (1.711698 42.538000, 1.711575 42.537841) 
LINESTRING (1.711575 42.537841, 1.711396 42.537677) 
LINESTRING (1.711396 42.537677, 1.711292 42.537418) 
LINESTRING (1.711292 42.537418, 1.711335 42.537323) 
LINESTRING (1.711335 42.537323, 1.711507 42.537196) 
LINESTRING (1.711507 42.537196, 1.711643 42.537051) 
LINESTRING (1.711643 42.537051, 1.711680 42.536928) 
LINESTRING (1.711680 42.536928, 1.711680 42.536842) 
LINESTRING (1.711680 42.536842, 1.711723 42.536642) 
LINESTRING (1.711723 42.536642, 1.711643 42.536093) 
LINESTRING (1.711643 42.536093, 1.711520 42.535752) 
LINESTRING (1.711520 42.535752, 1.711409 42.535443) 
LINESTRING (1.711409 42.535443, 1.710897 42.534712) 
LINESTRING (1.710897 42.534712, 1.710577 42.534453) 
LINESTRING (1.710577 42.534453, 1.710441 42.534317) 
LINESTRING (1.710441 42.534317, 1.710337 42.533981) 
LINESTRING (1.710337 42.533981, 1.710349 42.533768) 
LINESTRING (1.710349 42.533768, 1.710472 42.533418) 
LINESTRING (1.710472 42.533418, 1.710534 42.533146) 
LINESTRING (1.710534 42.533146, 1.710595 42.533037) 
LINESTRING (1.710595 42.533037, 1.710749 42.532882) 
LINESTRING (1.710749 42.532882, 1.711261 42.532446) 
LINESTRING (1.711261 42.532446, 1.711403 42.532324) 
LINESTRING (1.711403 42.532324, 1.711532 42.532097) 
LINESTRING (1.711532 42.532097, 1.711649 42.531933) 
LINESTRING (1.711649 42.531933, 1.712068 42.531520) 
LINESTRING (1.712068 42.531520, 1.712296 42.531248) 
LINESTRING (1.712296 42.531248, 1.712462 42.531129) 
LINESTRING (1.712462 42.531129, 1.712530 42.531007) 
LINESTRING (1.712530 42.531007, 1.712530 42.530889) 
LINESTRING (1.712530 42.530889, 1.712506 42.530735) 
LINESTRING (1.712506 42.530735, 1.712382 42.530367) 
LINESTRING (1.712382 42.530367, 1.712204 42.530249) 
LINESTRING (1.712204 42.530249, 1.711988 42.530149) 
LINESTRING (1.711988 42.530149, 1.711557 42.529940) 
LINESTRING (1.711557 42.529940, 1.711218 42.529744) 
LINESTRING (1.711218 42.529744, 1.711144 42.529631) 
LINESTRING (1.711144 42.529631, 1.711027 42.529286) 
LINESTRING (1.711027 42.529286, 1.711027 42.529200) 
LINESTRING (1.711027 42.529200, 1.711082 42.529104) 
LINESTRING (1.711082 42.529104, 1.711212 42.529032) 
LINESTRING (1.711212 42.529032, 1.711600 42.528827) 
LINESTRING (1.711600 42.528827, 1.711822 42.528668) 
LINESTRING (1.711822 42.528668, 1.712253 42.528260) 
LINESTRING (1.712253 42.528260, 1.712500 42.528001) 
LINESTRING (1.712500 42.528001, 1.712678 42.527692) 
LINESTRING (1.712678 42.527692, 1.712783 42.527351) 
LINESTRING (1.712783 42.527351, 1.712863 42.527238) 
LINESTRING (1.712863 42.527238, 1.713159 42.526965) 
LINESTRING (1.713159 42.526965, 1.713301 42.526811) 
LINESTRING (1.713301 42.526811, 1.713356 42.526690) 
LINESTRING (1.713356 42.526690, 1.713152 42.526767) 
LINESTRING (1.713152 42.526767, 1.712830 42.526869) 
LINESTRING (1.712830 42.526869, 1.712503 42.526923) 
LINESTRING (1.712503 42.526923, 1.711833 42.526850) 
LINESTRING (1.711833 42.526850, 1.711434 42.526859) 
LINESTRING (1.711434 42.526859, 1.711061 42.526920) 
LINESTRING (1.711061 42.526920, 1.710539 42.526967) 
LINESTRING (1.710539 42.526967, 1.709794 42.527051) 
LINESTRING (1.709794 42.527051, 1.709391 42.527120) 
LINESTRING (1.709391 42.527120, 1.708608 42.527154) 
LINESTRING (1.708608 42.527154, 1.708114 42.527194) 
LINESTRING (1.708114 42.527194, 1.707861 42.527243) 
LINESTRING (1.707861 42.527243, 1.707110 42.527422) 
LINESTRING (1.707110 42.527422, 1.706954 42.527411) 
LINESTRING (1.706954 42.527411, 1.706892 42.527331) 
LINESTRING (1.706892 42.527331, 1.706880 42.527275) 
LINESTRING (1.706880 42.527275, 1.706959 42.527160) 
LINESTRING (1.706959 42.527160, 1.707131 42.527054) 
LINESTRING (1.707131 42.527054, 1.707278 42.526945) 
LINESTRING (1.707278 42.526945, 1.707333 42.526811) 
LINESTRING (1.707333 42.526811, 1.707311 42.526674) 
LINESTRING (1.707311 42.526674, 1.707183 42.526623) 
LINESTRING (1.707183 42.526623, 1.706511 42.526617) 
LINESTRING (1.706511 42.526617, 1.706050 42.526618) 
LINESTRING (1.706050 42.526618, 1.705384 42.526770) 
LINESTRING (1.705384 42.526770, 1.705062 42.526853) 
LINESTRING (1.705062 42.526853, 1.704760 42.526985) 
LINESTRING (1.704760 42.526985, 1.704485 42.527191) 
LINESTRING (1.704485 42.527191, 1.704226 42.527336) 
LINESTRING (1.704226 42.527336, 1.703890 42.527358) 
LINESTRING (1.703890 42.527358, 1.703420 42.527448) 
LINESTRING (1.703420 42.527448, 1.703143 42.527455) 
LINESTRING (1.703143 42.527455, 1.702922 42.527394) 
LINESTRING (1.702922 42.527394, 1.702479 42.527072) 
LINESTRING (1.702479 42.527072, 1.702337 42.526996) 
LINESTRING (1.702337 42.526996, 1.701821 42.527042) 
LINESTRING (1.701821 42.527042, 1.701696 42.527105) 
LINESTRING (1.701696 42.527105, 1.701694 42.527212) 
LINESTRING (1.701694 42.527212, 1.701805 42.527516) 
LINESTRING (1.701805 42.527516, 1.701633 42.527900) 
LINESTRING (1.701633 42.527900, 1.701464 42.528184) 
LINESTRING (1.701464 42.528184, 1.701313 42.528352) 
LINESTRING (1.701313 42.528352, 1.701138 42.528511) 
LINESTRING (1.701138 42.528511, 1.700946 42.528765) 
LINESTRING (1.700946 42.528765, 1.700687 42.528994) 
LINESTRING (1.700687 42.528994, 1.700441 42.529290) 
LINESTRING (1.700441 42.529290, 1.700324 42.529608) 
LINESTRING (1.700324 42.529608, 1.700285 42.529859) 
LINESTRING (1.700285 42.529859, 1.700304 42.530334) 
LINESTRING (1.700304 42.530334, 1.700154 42.530327) 
LINESTRING (1.700154 42.530327, 1.700046 42.530324) 
LINESTRING (1.700046 42.530324, 1.699934 42.530330) 
LINESTRING (1.699934 42.530330, 1.699683 42.530343) 
LINESTRING (1.699683 42.530343, 1.699377 42.530295) 
LINESTRING (1.699377 42.530295, 1.699054 42.530200) 
LINESTRING (1.699054 42.530200, 1.698504 42.529966) 
LINESTRING (1.698504 42.529966, 1.698280 42.529862) 
LINESTRING (1.698280 42.529862, 1.698205 42.529788) 
LINESTRING (1.698205 42.529788, 1.698106 42.529528) 
LINESTRING (1.698106 42.529528, 1.698096 42.529457) 
LINESTRING (1.698096 42.529457, 1.698022 42.529300) 
LINESTRING (1.698022 42.529300, 1.697900 42.529073) 
LINESTRING (1.697900 42.529073, 1.697791 42.528826) 
LINESTRING (1.697791 42.528826, 1.697848 42.528569) 
LINESTRING (1.697848 42.528569, 1.697838 42.528411) 
LINESTRING (1.697838 42.528411, 1.697773 42.528328) 
LINESTRING (1.697773 42.528328, 1.697388 42.528008) 
LINESTRING (1.697388 42.528008, 1.697336 42.527886) 
